     Group.1 Group.2             x
1         ae      ae  1.514750e-02
2         ax      ae  1.545300e-02
3          d      ae -1.828314e-02
4         dh      ae -4.249935e-03
5         eh      ae -1.746900e-02
6         er      ae  3.944900e-02
7         ey      ae -1.385100e-02
8          f      ae  8.029500e-03
9          g      ae -3.400467e-02
10        h#      ae  2.662109e-02
11        hh      ae -4.660611e-03
12        iy      ae -9.850000e-05
13         k      ae  7.939417e-02
14         l      ae -4.461008e-02
15         m      ae -2.324300e-02
16        ow      ae -1.719900e-02
17         p      ae -1.233500e-03
18         r      ae -3.687091e-03
19         s      ae -5.406600e-03
20         t      ae  3.255550e-02
21        th      ae -2.002850e-02
22        uh      ae -2.290000e-04
23         b      ae  2.028435e-03
24         n      ae -1.634444e-03
25         v      ae -2.236800e-02
26         y      ae  1.986594e-02
27         z      ae -1.440350e-02
28        ax      ao  1.025400e-02
29         d      ao -4.940000e-03
30        er      ao -3.951000e-03
31        ey      ao  3.048100e-02
32         f      ao  1.521207e-02
33         g      ao  6.353500e-03
34        h#      ao -1.430525e-02
35        hh      ao -8.172000e-03
36        iy      ao -1.370100e-02
37         k      ao  7.913333e-03
38         l      ao -2.429000e-03
39         m      ao  8.753857e-03
40        ow      ao  8.980700e-02
41         p      ao  1.198370e-02
42         r      ao -2.240700e-02
43         s      ao  1.330050e-02
44         t      ao -5.517778e-04
45        uh      ao  5.293100e-02
46        uw      ao  2.451000e-03
47         w      ao  2.131000e-02
48        aa      ao  1.907000e-03
49         b      ao  5.899333e-03
50        ch      ao -8.260000e-03
51         n      ao -4.571000e-02
52         y      ao -2.515000e-02
53         z      ao -9.109000e-03
54        aw      ao  5.519600e-02
55        ae      ax -4.342867e-02
56        ao      ax -3.295760e-02
57        ax      ax  1.761900e-02
58        ay      ax  1.137967e-02
59         d      ax -9.359486e-03
60        dh      ax -1.524657e-02
61        eh      ax -4.084500e-03
62        er      ax -2.286762e-02
63        ey      ax  6.151500e-03
64         f      ax  9.244417e-03
65         g      ax  1.130700e-02
66        h#      ax  2.309056e-02
67        ih      ax -2.473214e-03
68        iy      ax -7.116438e-03
69         k      ax -1.530978e-03
70         l      ax -1.346456e-02
71         m      ax -1.092771e-02
72        ng      ax -1.339550e-02
73        ow      ax  2.998900e-03
74         p      ax  1.722971e-02
75         r      ax -2.603750e-02
76         s      ax  8.849891e-03
77        sh      ax -5.502714e-03
78         t      ax -1.756779e-02
79        th      ax -2.845980e-02
80        uh      ax -6.180750e-03
81        uw      ax  3.153167e-03
82         w      ax -5.508500e-03
83        aa      ax -1.835200e-02
84        ah      ax -1.972425e-02
85         b      ax -3.688500e-03
86        ch      ax  7.952462e-03
87         n      ax -1.032243e-02
88         v      ax -1.248812e-02
89         y      ax -2.004900e-02
90         z      ax  1.037130e-02
91        aw      ax -3.175500e-02
92        jh      ax -4.493500e-03
93        zh      ax  6.693000e-03
94        ae      ay -1.430350e-02
95        ax      ay -5.930333e-03
96        ay      ay  1.563540e-02
97         d      ay  4.004500e-03
98        eh      ay -2.258000e-02
99        er      ay -1.878500e-02
100        f      ay  5.471000e-03
101        g      ay -1.472300e-02
102       h#      ay  3.926110e-02
103       hh      ay  5.301775e-02
104       ih      ay -5.242300e-02
105       iy      ay -4.484500e-03
106        k      ay -1.281189e-02
107        l      ay -1.177810e-02
108        m      ay  7.430833e-04
109       ng      ay -3.000000e-03
110       ow      ay -3.463200e-03
111        p      ay  8.522500e-04
112        r      ay  1.041059e-03
113        s      ay  2.401644e-02
114        t      ay  1.818562e-03
115       uh      ay -9.500000e-04
116       uw      ay  5.495000e-03
117        w      ay -2.317583e-02
118       aa      ay -4.106950e-02
119       ah      ay -7.389333e-03
120        b      ay  8.147000e-03
121       ch      ay -1.783700e-02
122        n      ay -4.615385e-06
123        v      ay -3.404500e-03
124        z      ay  1.379933e-02
125       ae       d -7.238875e-03
126       ao       d -9.955500e-03
127       ax       d  2.547920e-03
128       ay       d  6.298118e-03
129        d       d  1.083571e-02
130       eh       d -5.649182e-03
131       er       d -5.129617e-02
132       ey       d -4.600571e-03
133        g       d  2.139700e-02
134       h#       d -2.510500e-03
135       ih       d -1.715732e-03
136       iy       d -1.124486e-02
137        k       d -7.904333e-03
138        l       d -2.099236e-02
139        m       d -3.918929e-02
140       ng       d  1.106900e-02
141       ow       d -1.963950e-02
142        r       d -2.696100e-02
143        s       d -1.157833e-03
144        t       d  2.002752e-02
145       uh       d -1.008722e-02
146       uw       d -2.779000e-03
147       aa       d  2.745371e-02
148       ah       d -1.043027e-02
149        n       d  8.100763e-03
150        v       d  2.884667e-03
151        z       d -7.260200e-03
152       aw       d -1.898667e-03
153       ao      dh -2.557033e-02
154       ax      dh -1.090814e-02
155       ay      dh -7.436750e-03
156        d      dh  1.423556e-02
157       dh      dh -2.452500e-02
158       er      dh  1.268367e-02
159       ey      dh -2.348900e-02
160        f      dh -1.659050e-02
161       h#      dh  4.314540e-02
162       ih      dh -6.504286e-04
163       iy      dh -1.095100e-02
164        k      dh  1.283260e-02
165        l      dh -6.488667e-03
166        m      dh -1.631000e-03
167       ng      dh  8.755333e-03
168       ow      dh  1.290050e-02
169        p      dh  6.921000e-03
170        r      dh -1.143383e-02
171        s      dh  2.192700e-03
172        t      dh  1.586064e-02
173       uh      dh -1.271000e-03
174       uw      dh -9.229143e-03
175       aa      dh -1.509000e-03
176       ah      dh -9.462187e-03
177        n      dh  1.477652e-02
178        v      dh  3.603538e-03
179        z      dh  1.161575e-02
180       oy      dh -4.030000e-04
181       ae      eh -9.050000e-02
182        d      eh -9.737500e-04
183       dh      eh -8.468444e-03
184       er      eh -2.195700e-02
185        f      eh  1.921500e-02
186        g      eh -4.404000e-03
187       h#      eh  2.057371e-02
188       hh      eh -1.080473e-02
189       ih      eh  5.552000e-03
190       iy      eh  1.172450e-02
191        k      eh -1.104253e-02
192        l      eh -6.912091e-03
193        m      eh -1.737446e-02
194       ng      eh  3.361000e-03
195       ow      eh -1.055600e-02
196        p      eh  3.236000e-03
197        r      eh -1.005640e-02
198        s      eh  2.223476e-03
199        t      eh -1.938984e-02
200       th      eh -3.710667e-03
201       uh      eh -1.636700e-02
202       uw      eh -8.120000e-04
203        w      eh -1.687342e-02
204       aa      eh -6.752000e-03
205       ah      eh -1.024900e-02
206        b      eh -3.971500e-03
207       ch      eh -1.288100e-02
208        n      eh -1.247790e-02
209        v      eh  1.046571e-03
210        y      eh  3.273778e-03
