     Group.1 Group.2          x
1         ae      ae  0.0151475
2         ax      ae  0.0154530
3          d      ae  0.0026720
4         dh      ae -0.0110860
5         eh      ae -0.0174690
6         er      ae  0.0394490
7         ey      ae -0.0138510
8          f      ae  0.0080295
9          g      ae -0.0245100
10        h#      ae  0.0280000
11        hh      ae -0.0167000
12        iy      ae -0.0000985
13         k      ae -0.0044295
14         l      ae -0.0418185
15         m      ae -0.0201720
16        ow      ae -0.0171990
17         p      ae -0.0012335
18         r      ae -0.0120000
19         s      ae -0.0071010
20         t      ae  0.0259725
21        th      ae -0.0200285
22        uh      ae -0.0002290
23         b      ae  0.0000890
24         n      ae -0.0056040
25         v      ae -0.0223680
26         y      ae  0.0185330
27         z      ae -0.0144035
28        ax      ao  0.0102540
29         d      ao  0.0063700
30        er      ao -0.0039510
31        ey      ao  0.0304810
32         f      ao  0.0154190
33         g      ao  0.0063535
34        h#      ao -0.0109650
35        hh      ao -0.0081720
36        iy      ao -0.0108450
37         k      ao  0.0096865
38         l      ao -0.0045230
39         m      ao -0.0006360
40        ow      ao  0.0898070
41         p      ao  0.0120750
42         r      ao -0.0532210
43         s      ao  0.0134885
44         t      ao -0.0020000
45        uh      ao  0.0529310
46        uw      ao  0.0024510
47         w      ao  0.0212600
48        aa      ao  0.0019070
49         b      ao  0.0069990
50        ch      ao -0.0082600
51         n      ao -0.0108480
52         y      ao -0.0251500
53         z      ao -0.0091090
54        aw      ao  0.0551960
55        ae      ax -0.0300945
56        ao      ax -0.0230000
57        ax      ax  0.0176190
58        ay      ax  0.0070000
59         d      ax -0.0030010
60        dh      ax -0.0147555
61        eh      ax -0.0040845
62        er      ax -0.0227800
63        ey      ax  0.0061515
64         f      ax  0.0043910
65         g      ax  0.0136600
66        h#      ax  0.0194940
67        ih      ax  0.0002345
68        iy      ax -0.0030000
69         k      ax -0.0027865
70         l      ax -0.0116345
71         m      ax -0.0109665
72        ng      ax -0.0024240
73        ow      ax -0.0076315
74         p      ax  0.0018340
75         r      ax -0.0217175
76         s      ax  0.0054680
77        sh      ax -0.0039370
78         t      ax -0.0098840
79        th      ax -0.0236190
80        uh      ax -0.0082480
81        uw      ax  0.0053385
82         w      ax -0.0180730
83        aa      ax -0.0152705
84        ah      ax -0.0207040
85         b      ax -0.0060095
86        ch      ax -0.0085380
87         n      ax -0.0119910
88         v      ax -0.0127880
89         y      ax -0.0237850
90         z      ax  0.0070410
