Word,nProns,pron
all,7,ao l
all,7,ao uh
all,7,ao ah
all,7,ao
all,7,aa l
all,7,ax l
all,7,ao ax l
month,1,m ah n th
four,3,f ow
four,3,f ow r
four,3,f ao r
mile,1,m ay aw
tours,1,t uh r z
broader,1,b r ao d er
go,3,k g ow
go,3,g ae aw
go,3,g ow
follow,1,f aa l ow
children,1,ch ih l d jh r ax n
causes,1,k ao z
physiological,1,f ih z iy l aa jh ih k ax l
father,1,f aa dh ax r
young,1,y ah ng
to,24,
to,24,iy
to,24,t ax
to,24,ih
to,24,ch ax r
to,24,ax
to,24,er
to,24,jh ow
to,24,t uh
to,24,t uw
to,24,t t ax
to,24,t
to,24,d uw
to,24,t iy
to,24,t d ax
to,24,n uw
to,24,d uh
to,24,d
to,24,k
to,24,s
to,24,d ax
to,24,uh
to,24,t ih
to,24,d aa
bicycles,1,p ay s ih k ax l s
bike,2,b p ay k
bike,2,b ay k
under,1,ah n d er
immature,1,ih m ax t uw er
midwest,1,m ih t d w ah s t
activities,1,ae k t ih v ih t iy z
family,1,f ae m ax l iy
sitting,1,s ih n
very,4,f er iy
very,4,v er iy
very,4,v ih er iy
very,4,v eh er iy
every,2,eh v er uh
every,2,eh v r iy
fall,1,f ao l
trouble,1,t r ah b ax l
cool,2,k uw uh
cool,2,k uw l
we'll,1,w iy l
touring,2,t er iy ng
touring,2,t uh er ih ng
impressive,1,m p r ah s uh f
level,1,l eh v ax l
did,3,t d ih d
did,3,d ih d
did,3,d t ih d
solution,2,s ax l uw sh ax n
solution,2,s l uw sh n
large,1,l aa r jh
solid,1,s aa ah ax d
commute,1,k m uh
joke,1,jh ow k
guy,1,g aa
shows,1,sh ow s
it'll,2,ih l
it'll,2,ih t ax l
i'll,3,ah
i'll,3,ao ax
i'll,3,aa ow
upper,1,ah p ax r
talked,1,t ao k t
bicycle,2,b ay s ih k ax l
bicycle,2,p b ay s ih k ax l
ten,1,t eh
streets,1,s t r iy t s
even,2,iy v ih n
even,2,iy v ax n
what,11,w ah t
what,11,w uh
what,11,w uh t
what,11,w ah
what,11,w ih d
what,11,hh w aa t
what,11,w aa
what,11,w ax t
what,11,w aa t
what,11,w ax
what,11,ax
assistance,3,ax s ih s ax n t s
assistance,3,ax s ih s t ax n s
assistance,3,ax s ih s t ih n s
consistently,1,k uh n s ih s t ax n l iy
above,1,ax b ah v
cars,1,k aa r z
learned,1,l er n d
ever,2,eh v er
ever,2,er v r ax
public,2,p ah b l ih k
public,2,p ah b l ih
everybody,1,eh b ah iy
unpreparedness,1,ah n p r ax p eh r ih d n ax s
never,1,n eh v er
here,4,hh ih er
here,4,hh iy er
here,4,hh ih
here,4,hh iy r
hours,1,aw r z
let,3,l eh t
let,3,l eh d
let,3,l eh
address,1,ax d r eh s
along,1,l ao ng
aren't,2,aa r
aren't,2,ao r n
teaches,1,t iy ch ax s
boy,1,b oy
great,1,g r ey t
kids,4,k ih d z
kids,4,k ih d s
kids,4,k ih z
kids,4,k ih d
talent,1,t ae l ih n
thirty,1,th er iy
institute,1,ih s t uw
amount,1,iy ax m aw n t
i'd,1,ay d
usually,1,y uw zh ax l iy
military,3,m ih uh ax t er iy
military,3,m ah ow uh t eh r iy
military,3,m ih l ax t eh r iy
i'm,4,ah m
i'm,4,ay m
i'm,4,aa m
i'm,4,ax m
guidance,1,g ay d ih n s
payoffs,1,p ey ao f s
trainer,1,t r ey n er
love,2,ah v
love,2,l ah v
morals,1,m ow r ax l z
extra,1,eh k s ch r ax
exercise,5,eh k sh er s ay z
exercise,5,ah k s uw s ay s
exercise,5,eh k sh ax r s ay s
exercise,5,eh g s ay z
exercise,5,eh k s ax r s ay s
crime,2,k r aa m
crime,2,k r ay m
u,1,y uw
yourself,2,y ih s eh ow f
yourself,2,ch er s eh f
use,2,y uh z
use,2,y uw z
criminals,1,k r m n ax l s
from,6,f r ah
from,6,f er m
from,6,f r ax m
from,6,f r m
from,6,f ax m
from,6,f r ah m
would,5,w uh t
would,5,ih d
would,5,w uh d
would,5,d
would,5,w uh t d
trips,1,t r ih p s
illegal,1,ih l iy g ax l
hospital,2,hh aa s p ax t ax l
hospital,2,hh aa s b ih t ax l
give,2,g ih v
give,2,g ih
visit,2,v ih s ih t
visit,2,v ih z ih t
two,2,t uw
two,2,t uh
few,2,f iy uw
few,2,f y uw
live,1,l ih v
program,1,p r ow g r ae m
call,3,k aa
call,3,k ao l
call,3,k aa l
peru,1,p er uw
taken,1,t ey g ih n
indiana,1,ih n d iy ae n ax
themselves,1,dh eh m s eh l z
until,3,ih n t ah uh
until,3,n t ih uh
until,3,ih n t ax l
more,7,m ow ao
more,7,m ao ax r
more,7,m ao ah
more,7,m ow r
more,7,ao r
more,7,m ao r
more,7,m ao er
sort,1,s er t
flat,2,f uh l ae
flat,2,f l ae
door,1,d ow ax
rich,1,r ih ch
afford,3,f ao r d
afford,3,ax f ao r d
afford,3,ax f ao d
train,1,ch r ey n
adult,1,ax d ah l t
excellent,2,eh k s l
excellent,2,eh k s l ax n
me,1,m iy
organizations,1,ao g z ey sh ax n s
join,1,jh oy n
hour,1,aw er
pushed,1,p uh sh t
this,8,dh ax s
this,8,ih s
this,8,d ih s
this,8,s
this,8,dh ih s
this,8,ih z
this,8,d ih z
this,8,dh ih sh
ride,1,r ay d
work,3,w er k
work,3,w uh
work,3,ae w er k
can,7,k ax ng
can,7,k eh n
can,7,k ax n
can,7,k ae
can,7,k ih m
can,7,k ih n
can,7,k ae n
servants,2,s er v ax n t s
servants,2,s er v uh n t s
v,1,v iy
growing,2,g r ow ax n
growing,2,g r ow ih n
meet,1,m iy d
my,3,m ay
my,3,m ow
my,3,m aa
something,3,s ah m th iy ng
something,3,s ah m th ih n
something,3,s ah ax m
control,1,k ax n ch r ow l
or/are,1,eh er
prosecute,1,p r aa s k uh
lives,1,l ay v z
didn't,1,d ih d ax n
topic,1,t aa p ih k
heard,1,hh er d
taking,1,t ey k ih ng
want,1,w aa n
times,3,t ay m s
times,3,t aa m z
times,3,t ay m z
needs,1,n iy d z
united,3,eh ay t
united,3,uw n ay n ax
